Date,Open,High,Low,Close,Adj Close,Volume
19-06-2020,2042,2090,2032,2044.599976,2027.504639,5681758
22-06-2020,2050,2052.25,2019.150024,2027.949951,2010.993774,3196138
23-06-2020,2027,2044,2010,2035.300049,2018.282471,4205944
24-06-2020,2034,2064.25,2031.599976,2042.199951,2025.124512,2560937
25-06-2020,2035,2060,2009.25,2016.099976,1999.242798,3043931
26-06-2020,2025,2132,2019.949951,2118.850098,2101.134033,6300722
29-06-2020,2108,2127.600098,2091.300049,2101.649902,2084.077637,3076341
30-06-2020,2100,2111.899902,2075.050049,2082.149902,2064.740479,3071725
01-07-2020,2079.699951,2113.949951,2079.5,2092.050049,2074.557861,2503466
02-07-2020,2102,2165,2098,2157.149902,2139.113281,3758699
03-07-2020,2163.649902,2205,2160.25,2199.649902,2181.258057,4185208
06-07-2020,2205,2269.899902,2205,2263.199951,2244.276855,5190366
07-07-2020,2275,2302.699951,2232.149902,2269.899902,2250.920898,5630055
08-07-2020,2270,2274.399902,2207.600098,2218.899902,2200.346924,2793358
09-07-2020,2229,2244.5,2191.050049,2204.350098,2185.919189,3443998
10-07-2020,2205.25,2249.850098,2176,2222.350098,2203.768555,9610320
13-07-2020,2220,2244.949951,2210,2220,2201.437988,2963503
14-07-2020,2210,2239,2165,2171.949951,2153.789795,2976738
15-07-2020,2185,2260,2181.100098,2233.899902,2215.22168,5569321
16-07-2020,2244,2333,2220.100098,2234.75,2221.035889,8582118
17-07-2020,2237,2243.899902,2190.050049,2200.75,2187.244629,4509135
20-07-2020,2201,2226.899902,2190.800049,2207.899902,2194.350586,2952646
21-07-2020,2230,2238.649902,2201.149902,2225.050049,2211.395508,2665286
22-07-2020,2231,2231,2184.199951,2190.949951,2177.504639,2861534
23-07-2020,2190.949951,2190.949951,2163,2171.199951,2157.875977,2265766
24-07-2020,2154.5,2163,2125.100098,2157.399902,2144.1604,3665100
27-07-2020,2165,2215,2163.5,2206.800049,2193.257568,4248480
28-07-2020,2215,2320,2215,2309.75,2295.575684,8092319
29-07-2020,2292,2342,2246.050049,2276.050049,2262.08252,6090431
30-07-2020,2285.899902,2358,2272.25,2279.5,2265.51123,7098496
31-07-2020,2303.149902,2334.800049,2257.449951,2281.399902,2267.399414,4723290
03-08-2020,2290.449951,2303.850098,2230.699951,2254.149902,2240.31665,4012337
04-08-2020,2259.949951,2269.649902,2225.050049,2249.699951,2235.894043,2927928
05-08-2020,2260,2300,2253,2259.5,2245.634033,3800641
06-08-2020,2275,2319.5,2265.350098,2308.100098,2293.935791,4748047
07-08-2020,2308,2328,2287,2295.350098,2281.26416,3165491
10-08-2020,2318,2325,2276.050049,2282.800049,2268.791016,2929353
11-08-2020,2283,2312,2275.600098,2279.899902,2265.908691,2774423
12-08-2020,2288.350098,2296.399902,2246.550049,2257.350098,2243.497314,3415751
13-08-2020,2273,2300,2250.5,2254.449951,2240.61499,2695682
14-08-2020,2277,2281.300049,2233.100098,2242.149902,2228.390381,2270405
17-08-2020,2263,2270,2238.25,2253.399902,2239.571289,2625630
18-08-2020,2262.800049,2289,2248.300049,2269.75,2255.821045,3493374
19-08-2020,2276.350098,2284.600098,2252.5,2256.600098,2242.751953,2843005
20-08-2020,2257,2276.550049,2240.050049,2252.850098,2239.024902,2895164
21-08-2020,2260,2271,2241.050049,2248.600098,2234.800781,1975294
24-08-2020,2250.600098,2259.949951,2230,2248.100098,2234.303955,2167966
25-08-2020,2245,2250,2233.550049,2242.649902,2228.887451,1663419
26-08-2020,2242,2259.899902,2216.449951,2253.5,2239.670654,2618149
27-08-2020,2266,2287.350098,2241.75,2248.399902,2234.602051,3579393
28-08-2020,2268.399902,2279.949951,2235.100098,2238.550049,2224.812744,2941136
31-08-2020,2240,2276.199951,2228,2257.25,2243.397705,6018154
01-09-2020,2269,2278,2241.300049,2246.350098,2232.564941,3610908
02-09-2020,2247,2268.75,2241.649902,2265.149902,2251.249268,2084137
03-09-2020,2268,2324,2268,2299.5,2285.388428,4654146
04-09-2020,2275,2324.25,2262.949951,2288.800049,2274.754395,5231303
07-09-2020,2289,2343.5,2283.350098,2327.050049,2312.769531,4620401
08-09-2020,2335.949951,2390.449951,2327.050049,2348.199951,2333.789795,7453998
09-09-2020,2325,2359,2320,2327.649902,2313.365479,3866535
10-09-2020,2335,2348.5,2324.300049,2331.149902,2316.844238,2308813
11-09-2020,2330.949951,2383,2330.149902,2374.100098,2359.530762,4145424
14-09-2020,2384.100098,2505.75,2381.850098,2491.399902,2476.110596,7512131
15-09-2020,2491.399902,2538,2464.600098,2491.399902,2476.110596,7318770
16-09-2020,2488.949951,2507.600098,2477.300049,2503,2487.639648,3074003
17-09-2020,2480,2495.75,2450.600098,2460.949951,2445.847656,4828176
18-09-2020,2485,2500.399902,2436.399902,2449.899902,2434.865479,4183256
21-09-2020,2465,2504.899902,2452.149902,2465.300049,2450.170898,4598809
22-09-2020,2485,2555,2458,2522.949951,2507.467285,7499613
23-09-2020,2510,2519.850098,2409,2467.449951,2452.307861,7502280
24-09-2020,2450,2450,2302.600098,2332.25,2317.937744,8424708
25-09-2020,2368,2440,2352.100098,2422.300049,2407.435059,8228267
28-09-2020,2440,2444,2366,2426.300049,2411.4104,4347166
29-09-2020,2434.850098,2511.050049,2426.300049,2488.399902,2473.12915,6995811
30-09-2020,2489,2505,2460,2492.300049,2477.005371,3917166
01-10-2020,2510,2540,2492.300049,2523.449951,2507.964111,2610337
05-10-2020,2620,2728.100098,2603.050049,2705.800049,2689.195068,17412105
06-10-2020,2736,2736,2650.100098,2714.300049,2697.643066,9846367
07-10-2020,2742,2770,2703,2735.949951,2719.160156,9656101
08-10-2020,2800,2885,2800,2825.699951,2808.359375,19839329
09-10-2020,2810,2829.850098,2780,2812.949951,2795.6875,7739245
12-10-2020,2815.5,2854,2800.75,2830,2812.632813,4623203
13-10-2020,2845,2854.899902,2812.199951,2826.550049,2809.204102,4209878
14-10-2020,2842,2842,2787.550049,2809.600098,2804.263672,4395936
15-10-2020,2811,2827.75,2727,2740.600098,2735.394775,6629355
16-10-2020,2750.100098,2771.649902,2731.300049,2763.300049,2758.051514,5273773
19-10-2020,2774,2774,2706.600098,2711.550049,2706.399902,3331194
20-10-2020,2725,2759.899902,2717.949951,2739,2733.797607,3406273
21-10-2020,2739,2749,2663.050049,2675.399902,2670.318359,4570143
22-10-2020,2661,2686.649902,2638.100098,2671.149902,2666.076416,5262294
23-10-2020,2687.800049,2702,2670.100098,2686.800049,2681.696777,3499091
26-10-2020,2689.949951,2709.949951,2670.5,2688.199951,2683.093994,2672752
27-10-2020,2699.75,2718.149902,2624.100098,2630.149902,2625.154297,3537502
28-10-2020,2650,2655.949951,2606,2622.199951,2617.219482,3569445
29-10-2020,2608,2655,2600.25,2632.649902,2627.649658,3105968
30-10-2020,2636.100098,2674.350098,2621.600098,2664.850098,2659.788574,3427003
